accuracy,average_precision,f1,precision,recall,roc_auc
0.8875968992248062,0.892088045326833,0.8164556962025316,0.8958333333333334,0.75,0.9107118712817739
0.8837209302325582,0.8985679944604137,0.8051948051948051,0.9117647058823529,0.7209302325581395,0.9211567063277446
0.8430232558139535,0.8495857816516563,0.7460815047021943,0.8095238095238095,0.6918604651162791,0.8925939697133586
0.8643410852713178,0.8615257938626734,0.7784810126582279,0.8541666666666666,0.7151162790697675,0.8942333693888588
0.8624031007751938,0.8261058319856678,0.768729641693811,0.8740740740740741,0.686046511627907,0.8725831530557057
0.8624031007751938,0.8615922562090378,0.7656765676567657,0.8854961832061069,0.6744186046511628,0.8863405895078421
0.8563106796116505,0.8513457723555429,0.7701863354037267,0.8266666666666667,0.7209302325581395,0.8799918638551766
0.8737864077669902,0.8838219915597189,0.7882736156351792,0.8962962962962963,0.7034883720930233,0.8971286188894163
0.8696498054474708,0.8801487414898397,0.781758957654723,0.8823529411764706,0.7017543859649122,0.9027500724600618
0.8715953307392996,0.8881694783699665,0.7911392405063291,0.8620689655172413,0.7309941520467836,0.9155371421751658
